GENE	muHat	SigmaHat
TRMT2B	0.36925581355568	0.2103613951415
WWC3	0.569826555194195	0.195249188737349
BTK	0.442687247256106	0.358791626343148
GLA	0.392937997387684	0.159192125456828
ARMCX1	0.548390963854761	0.0984537546976173
ARMCX6	0.456025809942095	0.122468924671505
ARMCX3	0.445877541384448	0.2025644487496
ARMCX2	0.492483678472435	0.0397513844263077
ZMAT1	0.407558651448505	2.27056709072114e-16
TCEAL2	0.426956669567131	2.22044604925031e-16
GPRASP1	0.487810578370744	0.126795239991014
BEX4	0.413903543019836	0.353064016267839
TCEAL4	0.479396222452181	0.155798876410031
MORF4L2	0.491925220302747	0.12275496120953
PLP1	0.418678827015723	0.344474253116514
MORC4	0.551503869514251	0.0802290527205355
ATG4A	0.462414333489305	0.23374949610059
ALG13	0.531892560683492	0.053766432957624
WDR44	0.511974724998945	0.088453332352972
DOCK11	0.470488837190527	0.259643517112161
IL13RA1	0.488194480972117	0.535769189706074
LONRF3	0.467818122325834	0.133177867192204
SLC25A43	0.457736158359055	0.158420374354661
SLC25A5	0.00331869446450717	2.25245934945049e-16
CXorf56	0.469440553962	0.14945145034021
SEPT6	0.511127193934304	0.0797102917868801
SOWAHD	0.51556788877281	0.198460032981687
RNF113A	0.443985108199622	0.132803299430667
LAMP2	0.519697747170284	0.429943477903359
C1GALT1C1	0.581534254255827	0.266603100562025
XIAP	0.518713551198419	0.187507682966161
ODZ1	0.5264803468854	0.121240267720713
TENM1	0.5264803468854	0.121240267720713
PRPS2	0.525821284208181	0.1258735441753
SASH3	0.453479947691889	0.339046555288937
TLR7	0.479923012366138	0.123199144572094
UTP14A	0.440178858314276	0.0454382781979601
BCORL1	0.459567363279408	0.0488474911785008
ELF4	0.513652924747619	0.337833420889606
TLR8	0.431436340000533	0.282827490249019
AIFM1	0.478280762020329	0.142540424580992
FAM45B	0.0301978719347172	2.22044604925031e-16
ZNF75D	0.498858501103815	0.150931906383647
DDX26B	0.470539675050018	0.205238920550926
FHL1	0.503057289564038	0.102288259419194
MAP7D3	0.48633463553128	0.0682267413714904
HTATSF1	0.44756426909837	0.190091007014304
CD40LG	0.469368266864991	0.0696294165758434
RBMX	0.0103128026626956	2.22044604925031e-16
TCEANC	0.48401654944284	0.117350354676928
FMR1	0.448472516244811	0.195596662275751
IDS	0.474102913077265	0.301277152223764
MTMR1	0.412044300542957	0.11466328546107
CD99L2	0.519278153428849	0.248542600562166
NSDHL	0.487237070402965	0.17315607062898
ZNF185	0.548804058882983	0.127365985891376
PNMA3	0.613677402413203	0.158849444246236
HAUS7	0.544271260328819	0.0912640267397466
BGN	0.396065931405942	0.0628051668406325
ABCD1	0.468185341789997	0.210844052509737
PLXNB3	0.622916446425789	0.0837172153145846
PDZD4	0.475484563856083	0.206404527827521
ARHGAP4	0.491971259850982	0.353767211666382
NAA10	0.36422615281847	0.0307521937650757
RENBP	0.526502121980171	0.356162812673198
HCFC1	0.485052702648382	0.088865645875751
TMEM187	0.360410116354226	0.0407260194372166
IRAK1	0.557362812589382	0.159055430192383
FLNA	0.428769918369164	0.34376456231355
RPL10	0.345161470064753	0.324943907856187
DNASE1L1	0.504758851079851	0.217124997698437
TAZ	0.587680819234686	0.144711648485683
ATP6AP1	0.52470007335942	0.148894193567123
GDI1	0.464530782651341	0.248309954226489
MIR6858	0.473913399249271	0.179461636136881
PLXNA3	0.50836190748499	0.164150312383753
LAGE3	0.573261431528205	0.15054339033297
UBL4A	0.501120324711033	0.275709470788662
G6PD	0.521584718861689	0.425732010402536
DKC1	0.499381359292314	0.28140854920687
MPP1	0.508031047569387	0.468545732103822
PIR	0.505487959856765	0.114516652235595
PIR-FIGF	0.526534064631426	0.0759128475775516
CLIC2	0.464447694894651	0.173952439014344
CA5B	0.461320863393174	0.00196264739409616
ZRSR2	0.455960274344459	0.0487927889628498
TXLNG	0.476339821616357	0.0689608682236102
PHKA2	0.443036356787798	0.253248762926808
PDHA1	0.451883319943537	0.165625481192443
MAP3K15	0.489225976377071	0.145883781854051
SH3KBP1	0.492344585096831	0.0829383034608717
RPS6KA3	0.442009865549338	0.267793987348208
MBTPS2	0.425961964105906	0.0813083340599187
SMS	0.387078157198955	0.137151846725954
ACOT9	0.461385869989247	0.311558379572863
SAT1	0.415868352930553	0.391251300447313
APOO	0.566134453756742	0.193470445555181
EIF2S3	0.458888557310117	0.077622929069719
ARSD	0.443459349077979	0.0347683043008749
CXorf21	0.479341410862402	0.305456810948692
PRKX	0.505152330244032	0.0416350620109798
LOC389906	0.43691565238281	0.0278645410658669
XK	0.400735459779066	2.35647799820899e-16
DYNLT3	0.457721115631217	0.106568263102249
RPGR	0.468671674186623	0.115678549982433
BCOR	0.411170833273522	0.23654870678031
ATP6AP2	0.617061020351837	0.297521316846531
CXorf38	0.44723911194004	0.0723944378489375
MED14	0.45996049763438	0.115779361991149
DDX3X	0.537280933992849	0.160760852927035
MAOA	0.574291450815281	0.220448351012537
EFHC2	0.436513073921015	0.120428701262549
FUNDC1	0.498165097471634	0.0910326002621489
KDM6A	0.524018870608775	0.0279688331961701
SLC9A7	0.446797044618638	0.00489518260777914
RBM10	0.493308149886067	0.134900193295294
UBA1	0.473040129267632	0.0927121576574355
INE1	0.584328498758555	0.0261341859945544
TIMP1	0.511437964990255	0.399672814491894
CFP	0.477498259632141	0.405706555777685
ELK1	0.511341340693328	0.118199445787494
ZNF630	0.450851203551948	0.186274061403583
SLC38A5	0.571088816335359	0.198577633283096
EBP	0.427043021087333	0.144744392123744
TBC1D25	0.474507148498713	0.273523098760691
RBM3	0.402255793773868	0.151267148326053
HDAC6	0.509482421443665	0.0587280325424736
PCSK1N	0.471577025998564	0.186012545941624
TIMM17B	0.460337581946081	0.365965537911607
KCND1	0.51780773267655	0.140523004021447
GRIPAP1	0.517784281227663	0.310439438765768
TFE3	0.531015270271889	0.431806571011608
GPKOW	0.45033202555102	0.208302935404283
PRICKLE3	0.373968661112952	0.0457914397182422
CACNA1F	0.513405595163886	0.146176259198791
CCDC22	0.462238272174053	0.230811844957948
MAGED1	0.459189863321793	0.137747639788863
KDM5C	0.442988956654142	0.073784721406013
SMC1A	0.554330509564465	0.0175053012853113
HUWE1	0.496172327593264	0.0296160396693095
PHF8	0.367714822802174	0.156193858443004
TSR2	0.423963981760096	0.239518429237175
MAGED2	0.455464207362811	0.210609629713611
APEX2	0.390196060384323	0.083835559620282
MAGEH1	0.498147059686712	0.138747550714472
FAAH2	0.456654557449748	0.171924780162354
VSIG4	0.428534401990115	0.26201896394825
HEPH	0.529640554580954	0.140869155410371
STARD8	0.427228009952224	0.187501542173142
EFNB1	0.492080464243842	0.111772423033766
PJA1	0.489069759571303	0.0999254170198491
HDHD1	0.510107447226084	0.0573011079589985
CXorf65	0.514938031336173	0.351590899934468
MED12	0.531500132564739	0.255227701592226
RGAG4	0.39950172355596	0.093501923468824
NHSL2	0.403295638844384	0.193228449677159
FLJ44635	0.322169503082858	0.20093072071716
PIN4	0.492765028880746	0.0774065503071685
RPS4X	0.444930480122305	0.0296711565565813
HDAC8	0.542956537526219	0.102649643298815
TSIX	0.47650284818205	0.140813511564665
XIST	0.485140600598676	0.13741977961771
RLIM	0.0958650951676844	0.0587937063029453
ABCB7	0.440794828306097	0.0628055323512906
TTC3P1	0.172813373007326	2.22044604925031e-16
ATRX	0.420485796365013	0.171769704957427
ATP7A	0.516942318983576	0.111320960097671
CYSLTR1	0.459107948574591	0.12925179761501
GPR174	0.450747607035513	0.161593541714498
CHM	0.418116246229232	2.36599837861784e-16
TBL1X	0.561529297193771	0.218008836396428
