pos	muHat	SigmaHat
2	chrX:100265552	0.341779320278722	0.163894797630125
13	chrX:100604757	0.471982514881266	0.438704196804779
14	chrX:100608191	0.39933409312614	0.273528814284101
19	chrX:100662901	0.376151249026511	0.11760907879217
21	chrX:100668296	0.35184685977845	0.0721435070189046
33	chrX:10085227	0.594721950253385	0.0933606245401215
38	chrX:100871148	0.473899857222131	0.101895484024904
40	chrX:100880857	0.445877541384448	0.2025644487496
50	chrX:101139758	0.444790140104949	2.33885735942408e-16
67	chrX:102471531	0.416051067739859	0.362237076078754
72	chrX:102840535	0.501030820244109	0.217566341443559
73	chrX:102842041	0.482576419135868	0.144387396981417
80	chrX:102930960	0.507721998975648	0.110321996771465
82	chrX:103042882	0.434297469521448	0.33658598401818
88	chrX:106200202	0.562919072541224	0.0848700847943762
98	chrX:107396958	0.453922897624496	0.241220562749562
99	chrX:108868153	0.372899705951009	0.111688682940409
114	chrX:117521338	0.526577893553657	0.111860954640095
116	chrX:117528056	0.565367203702405	0.0744033550766867
117	chrX:117528142	0.476506922913253	0.100065312729927
118	chrX:117566782	0.491058167560261	0.0636494424735342
119	chrX:117676909	0.512252383055343	0.132561779306601
122	chrX:117700141	0.439097513069577	0.232434746706485
123	chrX:117722176	0.537701796982685	0.31438073519798
124	chrX:117732044	0.474481867167925	0.36703152112009
129	chrX:117819773	0.491862680574034	0.258258289105766
132	chrX:117925898	0.520605966456601	0.53631507433393
134	chrX:118108785	0.516400770061169	0.0846578856654169
135	chrX:118148229	0.448349386610779	0.142747831796638
137	chrX:118587003	0.451634726063556	0.152928667851956
140	chrX:118605017	0.00284722294294781	2.22044604925031e-16
141	chrX:118605047	0.00290517142115424	2.22044604925031e-16
142	chrX:118605051	0.5	9.86657740219741e+60
145	chrX:118678364	0.519530522780785	0.159338082246042
146	chrX:118699320	0.366971756336174	0.0529995661528004
152	chrX:118763406	0.511127193934304	0.0797102917868801
154	chrX:118893054	0.505649046459784	0.185886235711472
155	chrX:118893137	0.535224357078145	0.228170691562102
157	chrX:118893413	0.504961089092492	0.202609563491545
161	chrX:119005587	0.556288421410524	0.093695663757792
162	chrX:119005705	0.378115763075432	0.105834529321013
172	chrX:119590533	0.522187284740803	0.429588031630196
180	chrX:119760629	0.574116001463052	0.282345045388328
186	chrX:123034511	0.542493112939584	0.173788135188666
187	chrX:123041043	0.470761163339128	0.130861197982046
188	chrX:123042424	0.632632674578172	0.0850196269431301
189	chrX:123042707	0.544419747912157	0.134804780737922
191	chrX:123043705	0.509280647956338	0.185925587283585
192	chrX:123043876	0.524112814353332	0.131314771035263
194	chrX:123044414	0.492851916800764	0.0749718641226663
195	chrX:123045109	0.448346905730757	0.0375402182199155
196	chrX:123045641	0.539667444781282	0.254801952344325
198	chrX:123045915	0.491325582837124	0.205280297238193
200	chrX:123046272	0.554845006530094	0.184574398795625
202	chrX:123046923	0.543475752569649	0.201705936706112
203	chrX:123047282	0.441557784092971	0.236650060372343
209	chrX:123540315	0.628455854076347	0.0768458970998618
210	chrX:123554646	0.58477520553677	0.0288669103434166
215	chrX:12809661	0.525821284208181	0.1258735441753
220	chrX:128927890	0.454056608757764	0.353144016713446
229	chrX:12906030	0.3945208562161	0.138767082257143
232	chrX:129147373	0.443325017533485	0.0753975678731243
243	chrX:129201179	0.508584961608414	0.337614730795814
246	chrX:12924826	0.398984595602374	0.276319058336721
249	chrX:129283520	0.472005065294843	0.141973701099171
256	chrX:12937513	0.441123972410813	0.30548378748242
258	chrX:12937804	0.427782115506814	0.238513404263339
260	chrX:12939112	0.415622632961389	0.292030007674735
262	chrX:12939412	0.449761728518292	0.304134934234769
267	chrX:12940375	0.375830255054533	0.0771935826051477
288	chrX:134421168	0.499203014342992	0.160178286176244
295	chrX:134713855	0.455664454449048	0.230821247575446
296	chrX:134713861	0.505935501717009	0.140552683900128
303	chrX:135293082	0.51309256573913	0.0998220223075835
304	chrX:135310785	0.485025694918575	0.0906696406459989
305	chrX:135313034	0.487146755321142	0.0430197820939776
309	chrX:135593629	0.45716628505547	0.246510317500755
310	chrX:135730555	0.460377796347679	0.0867276341628328
313	chrX:135956218	0.0103128026626956	2.22044604925031e-16
320	chrX:13681115	0.498145953861582	0.120448034821765
321	chrX:13681638	0.467132955893021	0.109069917226241
322	chrX:13681679	0.461715914899781	0.139750931042083
344	chrX:147010320	0.495469286491217	0.146516258282347
348	chrX:147031538	0.427052779534775	0.184440610687035
357	chrX:148582549	0.475121837871112	0.32431986632062
375	chrX:149931106	0.404163925877521	0.111531965186388
377	chrX:149937404	0.375408161798466	0.0925390387637259
378	chrX:149937428	0.637134046307382	0.254013156243318
386	chrX:152018832	0.51786788183028	0.14914588868351
387	chrX:152086580	0.560369718234034	0.058294557121722
392	chrX:152226542	0.682845655656413	0.102808414230708
406	chrX:152735959	0.539496005983533	0.056046836356659
409	chrX:152770230	0.389813654048303	0.0694068272759929
410	chrX:152771509	0.410754785565185	0.0504819324278727
422	chrX:153005605	0.514380226649357	0.33061606811029
423	chrX:153009197	0.449224440765435	0.133466385400241
438	chrX:153070999	0.497772707698257	0.206710383380639
444	chrX:153176254	0.482378009715431	0.320546195152498
445	chrX:153176284	0.403142916849726	0.404649223544455
448	chrX:153195393	0.36422615281847	0.0307521937650757
450	chrX:153207037	0.53936851952651	0.338588366075311
456	chrX:153215839	0.518600253247849	0.110680839683634
459	chrX:153219665	0.460253775773367	0.0738546084131391
460	chrX:153220360	0.459559599116702	0.0313525666008524
461	chrX:153221657	0.460387166522424	0.102703831871019
464	chrX:153222835	0.496698055343503	0.0829602600946205
467	chrX:153247722	0.380365299967059	0.0142977196894812
468	chrX:153247745	0.31365153101276	0.051332349820649
469	chrX:153247954	0.374116916694534	0.0450384223602828
470	chrX:153248248	0.367174578818915	0.0367323883524997
473	chrX:153278829	0.580982437303427	0.140673333133834
475	chrX:153284192	0.575161007200826	0.176657371758458
477	chrX:153284483	0.543499480056683	0.155301351552708
490	chrX:153581932	0.47805633736745	0.29673572730523
502	chrX:153626649	0.458442711010664	0.188184076766847
504	chrX:153626738	0.136477724037422	0.0615684253667995
506	chrX:153629155	0.398593286601724	0.355355980289867
513	chrX:153633359	0.495442012789593	0.261234689155682
514	chrX:153633953	0.621210771453165	0.0445727909307795
515	chrX:153640406	0.441350100202017	0.00871644670226481
516	chrX:153649813	0.587680819234686	0.144711648485683
520	chrX:153667176	0.478908397362137	0.243709404279119
526	chrX:153678706	0.473913399249271	0.179461636136881
532	chrX:153693811	0.5585524052082	0.142400289101567
534	chrX:153694334	0.566798709966582	0.07813457641294
541	chrX:153706264	0.569956479888076	0.169954562061385
544	chrX:153713787	0.495588286687397	0.280923433150766
553	chrX:153760654	0.532657057344735	0.654832924876153
564	chrX:154005148	0.484875758014592	0.326229325719554
566	chrX:154020114	0.508031047569387	0.468545732103822
570	chrX:15415583	0.52665055898285	0.0739542836068292
572	chrX:154507173	0.465313037362504	0.17814191798478
576	chrX:15800751	0.461320863393174	0.00196264739409616
577	chrX:15838366	0.448705460724554	0.0424941441897961
585	chrX:16859628	0.464025756890333	0.0762099076459115
605	chrX:19378784	0.481215690042172	0.147211928096535
606	chrX:19378830	0.467268413263248	0.14476459254478
618	chrX:20204461	0.461795220763895	0.275732812270059
620	chrX:21861434	0.425961964105906	0.0813083340599187
621	chrX:21958851	0.421991389136384	0.0526451127487938
626	chrX:23722835	0.480472973141929	0.312408293424798
632	chrX:23801311	0.417133277535963	0.407074687269163
634	chrX:23858452	0.579911504566056	0.214631375099878
637	chrX:23925834	0.567516380054588	0.0234075578318873
640	chrX:24073761	0.475163876435976	0.0973869266874265
642	chrX:24075862	0.440430408004313	0.0532399201439894
658	chrX:2825403	0.470456205620236	0.0535922677552467
663	chrX:2836037	0.414867270097386	0.0326732460751826
667	chrX:30577846	0.479341410862402	0.305456810948692
672	chrX:3592725	0.492123948738041	0.0245402061347473
673	chrX:3631167	0.513100517869758	0.059146140918711
676	chrX:3736489	0.462047713973971	0.036008853019261
678	chrX:3747372	0.395582680330706	3.47914610953133e-15
680	chrX:37587804	0.400735459779066	2.35647799820899e-16
684	chrX:37701048	0.457721115631217	0.106568263102249
697	chrX:38156677	0.469243567151767	0.162004518483602
698	chrX:38158290	0.458848612414186	0.142864467819617
710	chrX:40450585	0.570320774990775	0.235123034974972
718	chrX:40573157	0.451316476416667	0.14096215034689
733	chrX:43571197	0.386070853459613	0.22006085443255
734	chrX:43591036	0.617146687652215	0.242079642875732
735	chrX:43603391	0.600708848562699	0.116984015649623
738	chrX:44094685	0.41416918873003	0.193824947633823
740	chrX:44401295	0.512432034346774	0.077111476595673
744	chrX:44929077	0.464291106534584	0.0642510922368625
745	chrX:44938563	0.537908470683118	0.0144408500810402
752	chrX:46472826	0.452564733750644	0.0094229799580682
766	chrX:47062534	0.45218853289283	0.112648063292269
768	chrX:47065186	0.616320349217764	0.00415876383959109
785	chrX:47444985	0.505845226923207	0.441377822271134
789	chrX:47483800	0.476659416816256	0.421175823275531
799	chrX:47918205	0.423162047635001	0.169599477183119
802	chrX:48317386	0.571088816335359	0.198577633283096
809	chrX:48382174	0.427043021087333	0.144744392123744
811	chrX:48418126	0.479931414396748	0.255670608085293
813	chrX:48418659	0.474465220015917	0.292306395027587
816	chrX:48435928	0.402255793773868	0.151267148326053
826	chrX:48690416	0.459285115274746	0.221479373498183
829	chrX:48751471	0.460337581946081	0.365965537911607
845	chrX:48847497	0.507189514079142	0.331079853608839
847	chrX:48888074	0.531015270271889	0.431806571011608
864	chrX:49071964	0.524124243270917	0.199432656596048
868	chrX:49103224	0.471169661531782	0.238025294819227
885	chrX:51644748	0.465550861023085	0.138746621783029
900	chrX:53449568	0.557182336672031	0.0179492031437732
907	chrX:53641647	0.510270549703616	0.0268629731004763
914	chrX:54836361	0.426955873959326	0.203884270579966
915	chrX:54836505	0.453613216142647	0.22611120259987
916	chrX:54837340	0.451291942941845	0.181944425590038
917	chrX:54838077	0.50010294515328	0.25680195686991
918	chrX:54841737	0.403200043676478	0.0942903766142941
933	chrX:55479299	0.498147059686712	0.138747550714472
943	chrX:57475132	0.475275233590816	0.185427574017302
959	chrX:65259893	0.555540305421602	0.165288780678474
965	chrX:67937976	0.426857693426531	0.040362372017992
973	chrX:68060503	0.458818380847023	0.157045426799781
974	chrX:68381264	0.490883420017558	0.0706607921765321
975	chrX:68381787	0.476399020260445	0.0691429024959393
977	chrX:68381912	0.511848121702611	0.119678593602829
978	chrX:68382836	0.453682037090554	0.15177820503558
986	chrX:6995315	0.529294081739883	0.0391569494276252
